date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
10:49:54	124372/124372	---MCZ	200	added ('OK')	text/html	date:Mon,%2005%20Jan%202026%2008:26:52%20GMT	https://html.kodesolution.com/2025/consultez-html-v2/index-5.html	C:/Users/user/Downloads/consultancy/html.kodesolution.com/2025/consultez-html-v2/index-5.html	(from )
10:49:54	633/633	---MCZ	200	added ('OK')	text/plain	date:Tue,%2020%20Jan%202026%2009:49:55%20GMT	https://html.kodesolution.com/robots.txt		(from )
10:49:55	232757/232757	---MCZ	200	added ('OK')	text/css	date:Sat,%2010%20May%202025%2012:24:22%20GMT	https://html.kodesolution.com/2025/consultez-html-v2/css/bootstrap.min.css	C:/Users/user/Downloads/consultancy/html.kodesolution.com/2025/consultez-html-v2/css/bootstrap.min.css	(from https://html.kodesolution.com/2025/consultez-html-v2/index-5.html)
10:49:55	14849/14849	---MCZ	200	added ('OK')	text/css	date:Sat,%2010%20May%202025%2012:24:22%20GMT	https://html.kodesolution.com/2025/consultez-html-v2/css/flatpickr.min.css	C:/Users/user/Downloads/consultancy/html.kodesolution.com/2025/consultez-html-v2/css/flatpickr.min.css	(from https://html.kodesolution.com/2025/consultez-html-v2/index-5.html)
10:49:55	568420/568420	---MCZ	200	added ('OK')	text/css	date:Mon,%2005%20Jan%202026%2009:43:02%20GMT	https://html.kodesolution.com/2025/consultez-html-v2/css/style.css	C:/Users/user/Downloads/consultancy/html.kodesolution.com/2025/consultez-html-v2/css/style.css	(from https://html.kodesolution.com/2025/consultez-html-v2/index-5.html)
10:49:55	3087/3087	---MCZ	200	added ('OK')	text/css	date:Sat,%2010%20May%202025%2012:24:22%20GMT	https://html.kodesolution.com/2025/consultez-html-v2/css/slick-theme.css	C:/Users/user/Downloads/consultancy/html.kodesolution.com/2025/consultez-html-v2/css/slick-theme.css	(from https://html.kodesolution.com/2025/consultez-html-v2/index-5.html)
10:49:56	1776/1776	---MCZ	200	added ('OK')	text/css	date:Sat,%2010%20May%202025%2012:24:22%20GMT	https://html.kodesolution.com/2025/consultez-html-v2/css/slick.css	C:/Users/user/Downloads/consultancy/html.kodesolution.com/2025/consultez-html-v2/css/slick.css	(from https://html.kodesolution.com/2025/consultez-html-v2/index-5.html)
10:49:56	411/411	---M--	200	added ('OK')	image/png	date:Sun,%2026%20Oct%202025%2008:35:07%20GMT	https://html.kodesolution.com/2025/consultez-html-v2/images/favicon.png	C:/Users/user/Downloads/consultancy/html.kodesolution.com/2025/consultez-html-v2/images/favicon.png	(from https://html.kodesolution.com/2025/consultez-html-v2/index-5.html)
10:49:56	149052/149052	---MCZ	200	added ('OK')	text/html	date:Thu,%2031%20Jul%202025%2009:37:04%20GMT	https://html.kodesolution.com/2025/consultez-html-v2/index.html	C:/Users/user/Downloads/consultancy/html.kodesolution.com/2025/consultez-html-v2/index.html	(from https://html.kodesolution.com/2025/consultez-html-v2/index-5.html)
10:49:56	1145/1145	---M--	200	added ('OK')	image/png	date:Sun,%2026%20Oct%202025%2008:35:07%20GMT	https://html.kodesolution.com/2025/consultez-html-v2/images/logo.png	C:/Users/user/Downloads/consultancy/html.kodesolution.com/2025/consultez-html-v2/images/logo.png	(from https://html.kodesolution.com/2025/consultez-html-v2/index-5.html)
10:49:57	178975/178975	---MCZ	200	added ('OK')	text/html	date:Tue,%2024%20Jun%202025%2011:39:32%20GMT	https://html.kodesolution.com/2025/consultez-html-v2/index-2.html	C:/Users/user/Downloads/consultancy/html.kodesolution.com/2025/consultez-html-v2/index-2.html	(from https://html.kodesolution.com/2025/consultez-html-v2/index-5.html)
10:49:58	186307/186307	---MCZ	200	added ('OK')	text/html	date:Tue,%2024%20Jun%202025%2011:39:32%20GMT	https://html.kodesolution.com/2025/consultez-html-v2/index-3.html	C:/Users/user/Downloads/consultancy/html.kodesolution.com/2025/consultez-html-v2/index-3.html	(from https://html.kodesolution.com/2025/consultez-html-v2/index-5.html)
10:49:58	109892/109892	---MCZ	200	added ('OK')	text/html	date:Tue,%2024%20Jun%202025%2011:39:32%20GMT	https://html.kodesolution.com/2025/consultez-html-v2/index-4.html	C:/Users/user/Downloads/consultancy/html.kodesolution.com/2025/consultez-html-v2/index-4.html	(from https://html.kodesolution.com/2025/consultez-html-v2/index-5.html)
10:49:58	92639/92639	---MCZ	200	added ('OK')	text/html	date:Mon,%2004%20Aug%202025%2011:29:57%20GMT	https://html.kodesolution.com/2025/consultez-html-v2/index-6.html	C:/Users/user/Downloads/consultancy/html.kodesolution.com/2025/consultez-html-v2/index-6.html	(from https://html.kodesolution.com/2025/consultez-html-v2/index-5.html)
10:49:59	140403/140403	---MCZ	200	added ('OK')	text/html	date:Tue,%2024%20Jun%202025%2011:39:32%20GMT	https://html.kodesolution.com/2025/consultez-html-v2/index-7.html	C:/Users/user/Downloads/consultancy/html.kodesolution.com/2025/consultez-html-v2/index-7.html	(from https://html.kodesolution.com/2025/consultez-html-v2/index-5.html)
10:50:00	158395/158395	---MCZ	200	added ('OK')	text/html	date:Tue,%2024%20Jun%202025%2011:39:32%20GMT	https://html.kodesolution.com/2025/consultez-html-v2/index-1-single.html	C:/Users/user/Downloads/consultancy/html.kodesolution.com/2025/consultez-html-v2/index-1-single.html	(from https://html.kodesolution.com/2025/consultez-html-v2/index-5.html)
10:50:00	175153/175153	---MCZ	200	added ('OK')	text/html	date:Tue,%2024%20Jun%202025%2011:39:32%20GMT	https://html.kodesolution.com/2025/consultez-html-v2/index-2-single.html	C:/Users/user/Downloads/consultancy/html.kodesolution.com/2025/consultez-html-v2/index-2-single.html	(from https://html.kodesolution.com/2025/consultez-html-v2/index-5.html)
10:50:01	195412/195412	---MCZ	200	added ('OK')	text/html	date:Tue,%2024%20Jun%202025%2011:39:32%20GMT	https://html.kodesolution.com/2025/consultez-html-v2/index-3-single.html	C:/Users/user/Downloads/consultancy/html.kodesolution.com/2025/consultez-html-v2/index-3-single.html	(from https://html.kodesolution.com/2025/consultez-html-v2/index-5.html)
10:50:01	106117/106117	---MCZ	200	added ('OK')	text/html	date:Tue,%2024%20Jun%202025%2011:39:32%20GMT	https://html.kodesolution.com/2025/consultez-html-v2/index-4-single.html	C:/Users/user/Downloads/consultancy/html.kodesolution.com/2025/consultez-html-v2/index-4-single.html	(from https://html.kodesolution.com/2025/consultez-html-v2/index-5.html)
10:50:02	120635/120635	---MCZ	200	added ('OK')	text/html	date:Tue,%2024%20Jun%202025%2011:39:32%20GMT	https://html.kodesolution.com/2025/consultez-html-v2/index-5-single.html	C:/Users/user/Downloads/consultancy/html.kodesolution.com/2025/consultez-html-v2/index-5-single.html	(from https://html.kodesolution.com/2025/consultez-html-v2/index-5.html)
10:50:03	102024/102024	---MCZ	200	added ('OK')	text/html	date:Tue,%2024%20Jun%202025%2011:39:32%20GMT	https://html.kodesolution.com/2025/consultez-html-v2/index-6-single.html	C:/Users/user/Downloads/consultancy/html.kodesolution.com/2025/consultez-html-v2/index-6-single.html	(from https://html.kodesolution.com/2025/consultez-html-v2/index-5.html)
10:50:03	149515/149515	---MCZ	200	added ('OK')	text/html	date:Tue,%2024%20Jun%202025%2011:39:32%20GMT	https://html.kodesolution.com/2025/consultez-html-v2/index-7-single.html	C:/Users/user/Downloads/consultancy/html.kodesolution.com/2025/consultez-html-v2/index-7-single.html	(from https://html.kodesolution.com/2025/consultez-html-v2/index-5.html)
10:50:04	147806/147806	---MCZ	200	added ('OK')	text/html	date:Tue,%2024%20Jun%202025%2011:39:32%20GMT	https://html.kodesolution.com/2025/consultez-html-v2/index-1-dark.html	C:/Users/user/Downloads/consultancy/html.kodesolution.com/2025/consultez-html-v2/index-1-dark.html	(from https://html.kodesolution.com/2025/consultez-html-v2/index-5.html)
10:50:04	175048/175048	---MCZ	200	added ('OK')	text/html	date:Tue,%2024%20Jun%202025%2011:39:32%20GMT	https://html.kodesolution.com/2025/consultez-html-v2/index-2-dark.html	C:/Users/user/Downloads/consultancy/html.kodesolution.com/2025/consultez-html-v2/index-2-dark.html	(from https://html.kodesolution.com/2025/consultez-html-v2/index-5.html)
10:50:04	184823/184823	---MCZ	200	added ('OK')	text/html	date:Tue,%2024%20Jun%202025%2011:39:32%20GMT	https://html.kodesolution.com/2025/consultez-html-v2/index-3-dark.html	C:/Users/user/Downloads/consultancy/html.kodesolution.com/2025/consultez-html-v2/index-3-dark.html	(from https://html.kodesolution.com/2025/consultez-html-v2/index-5.html)
10:50:05	109641/109641	---MCZ	200	added ('OK')	text/html	date:Tue,%2024%20Jun%202025%2011:39:32%20GMT	https://html.kodesolution.com/2025/consultez-html-v2/index-4-dark.html	C:/Users/user/Downloads/consultancy/html.kodesolution.com/2025/consultez-html-v2/index-4-dark.html	(from https://html.kodesolution.com/2025/consultez-html-v2/index-5.html)
10:50:05	124483/124483	---MCZ	200	added ('OK')	text/html	date:Tue,%2024%20Jun%202025%2011:39:32%20GMT	https://html.kodesolution.com/2025/consultez-html-v2/index-5-dark.html	C:/Users/user/Downloads/consultancy/html.kodesolution.com/2025/consultez-html-v2/index-5-dark.html	(from https://html.kodesolution.com/2025/consultez-html-v2/index-5.html)
10:50:06	93025/93025	---MCZ	200	added ('OK')	text/html	date:Tue,%2024%20Jun%202025%2011:39:32%20GMT	https://html.kodesolution.com/2025/consultez-html-v2/index-6-dark.html	C:/Users/user/Downloads/consultancy/html.kodesolution.com/2025/consultez-html-v2/index-6-dark.html	(from https://html.kodesolution.com/2025/consultez-html-v2/index-5.html)
10:50:07	140344/140344	---MCZ	200	added ('OK')	text/html	date:Tue,%2024%20Jun%202025%2011:39:32%20GMT	https://html.kodesolution.com/2025/consultez-html-v2/index-7-dark.html	C:/Users/user/Downloads/consultancy/html.kodesolution.com/2025/consultez-html-v2/index-7-dark.html	(from https://html.kodesolution.com/2025/consultez-html-v2/index-5.html)
10:50:07	149390/149390	---MCZ	200	added ('OK')	text/html	date:Tue,%2024%20Jun%202025%2011:39:32%20GMT	https://html.kodesolution.com/2025/consultez-html-v2/index-1-rtl.html	C:/Users/user/Downloads/consultancy/html.kodesolution.com/2025/consultez-html-v2/index-1-rtl.html	(from https://html.kodesolution.com/2025/consultez-html-v2/index-5.html)
10:50:08	105479/105479	---MCZ	200	added ('OK')	text/html	date:Tue,%2024%20Jun%202025%2011:39:32%20GMT	https://html.kodesolution.com/2025/consultez-html-v2/page-about.html	C:/Users/user/Downloads/consultancy/html.kodesolution.com/2025/consultez-html-v2/page-about.html	(from https://html.kodesolution.com/2025/consultez-html-v2/index-5.html)
10:50:08	25796/25796	---MCZ	200	added ('OK')	text/html	date:Tue,%2024%20Jun%202025%2011:39:32%20GMT	https://html.kodesolution.com/2025/consultez-html-v2/page-faq.html	C:/Users/user/Downloads/consultancy/html.kodesolution.com/2025/consultez-html-v2/page-faq.html	(from https://html.kodesolution.com/2025/consultez-html-v2/index-5.html)
10:50:09	51677/51677	---MCZ	200	added ('OK')	text/html	date:Tue,%2024%20Jun%202025%2011:39:32%20GMT	https://html.kodesolution.com/2025/consultez-html-v2/page-pricing.html	C:/Users/user/Downloads/consultancy/html.kodesolution.com/2025/consultez-html-v2/page-pricing.html	(from https://html.kodesolution.com/2025/consultez-html-v2/index-5.html)
10:50:09	23557/23557	---MCZ	200	added ('OK')	text/html	date:Thu,%2017%20Jul%202025%2010:48:35%20GMT	https://html.kodesolution.com/2025/consultez-html-v2/page-team.html	C:/Users/user/Downloads/consultancy/html.kodesolution.com/2025/consultez-html-v2/page-team.html	(from https://html.kodesolution.com/2025/consultez-html-v2/index-5.html)
10:50:10	25600/25600	---MCZ	200	added ('OK')	text/html	date:Thu,%2017%20Jul%202025%2010:48:35%20GMT	https://html.kodesolution.com/2025/consultez-html-v2/page-team-details.html	C:/Users/user/Downloads/consultancy/html.kodesolution.com/2025/consultez-html-v2/page-team-details.html	(from https://html.kodesolution.com/2025/consultez-html-v2/index-5.html)
10:50:10	26806/26806	---MCZ	200	added ('OK')	text/html	date:Tue,%2024%20Jun%202025%2011:39:32%20GMT	https://html.kodesolution.com/2025/consultez-html-v2/shop-products.html	C:/Users/user/Downloads/consultancy/html.kodesolution.com/2025/consultez-html-v2/shop-products.html	(from https://html.kodesolution.com/2025/consultez-html-v2/index-5.html)
